Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Travel Time (sec)
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),31,2095,52,2084,1531
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),1:  Early AM (12am-6am) (12am-6am),0,105,1,94,1874
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),2:  Peak AM (6am-9am) (6am-9am),3,245,5,222,2149
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),18,897,27,884,1413
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),5,445,9,457,1468
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),5:  Late PM (6pm-12am) (6pm-12am),5,402,11,426,1681
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),26,1934,50,1915,1045
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),2:  Peak AM (6am-9am) (6am-9am),3,246,4,218,2175
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),3:  Mid-Day (9am-3pm) (9am-3pm),14,739,23,741,779
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),4:  Peak PM (3pm-6pm) (3pm-6pm),3,429,7,433,1179
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),5:  Late PM (6pm-12am) (6pm-12am),6,399,16,423,986
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),38,2446,61,2471,2123
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),1:  Early AM (12am-6am) (12am-6am),1,90,3,86,1874
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),2:  Peak AM (6am-9am) (6am-9am),2,232,6,219,3058
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),26,1263,38,1256,1953
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),6,485,10,526,1750
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),5:  Late PM (6pm-12am) (6pm-12am),3,377,4,385,3747
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),4,2095,52,1783,2504
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),1:  Early AM (12am-6am) (12am-6am),1,105,1,26,867
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),2:  Peak AM (6am-9am) (6am-9am),1,245,5,271,2757
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),2,897,27,700,1998
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),1,445,9,409,3892
